"";"Low mean";"Medium mean";"Elevated mean";"pvalue.anova";"pvalue.anova.adj";"Medium-Low";"Elevated-Low";"Elevated-Medium";"Low";"Medium";"Elevated"
"U2857.8.342";"0";"0";"0.001";"3.37e-03";"1.17e-02";"1.82e-01";"2.90e-03";"2.33e-02";"a";"a";"b"
"U2882.5.297";"0.009";"0.007";"0.002";"4.74e-04";"2.56e-03";"7.63e-02";"4.16e-04";"3.53e-03";"b";"b";"a"
"U3008.3.457";"0.009";"0.008";"0.005";"4.34e-02";"8.62e-02";"9.98e-01";"6.09e-02";"6.53e-02";"a";"a";"a"
"U3041.1.361";"0.046";"0.059";"0.074";"6.43e-02";"1.17e-01";"4.27e-01";"5.50e-02";"2.97e-01";"a";"a";"a"
"U3063.0.361";"0.004";"0.004";"0.005";"7.23e-01";"7.82e-01";"9.23e-01";"8.99e-01";"7.02e-01";"a";"a";"a"
"U3080.7.361";"0.01";"0.014";"0.016";"8.05e-04";"3.62e-03";"6.12e-03";"6.99e-04";"9.42e-02";"a";"b";"b"
"U3100.8.361";"0.007";"0.036";"0.062";"4.17e-04";"2.35e-03";"8.27e-03";"3.32e-04";"1.77e-02";"a";"b";"c"
"U3213.1.400";"0.003";"0.003";"0.003";"4.01e-01";"5.26e-01";"3.75e-01";"6.86e-01";"8.25e-01";"a";"a";"a"
"U3218.5.297";"0.009";"0.005";"0.001";"1.35e-06";"4.56e-05";"3.68e-05";"1.17e-06";"1.09e-04";"c";"b";"a"
"U3279.7.361";"0.007";"0.031";"0.061";"8.87e-05";"7.98e-04";"6.38e-03";"7.07e-05";"1.68e-03";"a";"b";"c"
"U3701.368";"0.004";"0.004";"0.003";"5.93e-03";"1.74e-02";"9.64e-01";"8.46e-03";"1.11e-02";"b";"b";"a"
"U3898.1.204";"0.016";"0.033";"0.022";"4.82e-01";"5.97e-01";"4.65e-01";"9.12e-01";"6.89e-01";"a";"a";"a"
"U3910.6.597.Trigalactosylglycerol.";"0.004";"0.005";"0.004";"4.13e-01";"5.33e-01";"4.77e-01";"1.00e+00";"4.72e-01";"a";"a";"a"
"U4132.5.575";"0.006";"0.006";"0.005";"9.25e-01";"9.32e-01";"9.97e-01";"9.27e-01";"9.52e-01";"a";"a";"a"
